,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[VIGIL3_A_9.0],-0.0,0.072,-0.168,0.152,0.002,0.002,1106.0,739.0,1.0
beta[VIGIL2_A_2.0],-0.024,0.065,-0.188,0.075,0.002,0.001,2008.0,933.0,1.0
beta[VIGIL2_A_3.0],-0.015,0.05,-0.139,0.08,0.001,0.001,1792.0,832.0,1.0
beta[VIGIL2_A_4.0],-0.027,0.06,-0.152,0.069,0.002,0.001,1560.0,747.0,1.0
beta[VIGIL2_A_5.0],0.025,0.049,-0.052,0.14,0.001,0.001,1453.0,886.0,1.0
beta[VIGIL2_A_7.0],-0.008,0.07,-0.173,0.135,0.002,0.002,1655.0,615.0,1.0
beta[VIGIL2_A_8.0],0.009,0.071,-0.16,0.133,0.002,0.002,1899.0,904.0,1.0
beta[VIGIL2_A_9.0],0.006,0.07,-0.131,0.173,0.002,0.002,1643.0,856.0,1.0
beta[VIGIL1_A_2.0],-0.01,0.057,-0.114,0.108,0.002,0.001,1223.0,768.0,1.0
beta[VIGIL1_A_3.0],-0.044,0.078,-0.22,0.061,0.002,0.002,1307.0,883.0,1.0
beta[VIGIL1_A_4.0],-0.052,0.084,-0.259,0.066,0.002,0.002,1251.0,558.0,1.0
beta[VIGIL1_A_5.0],0.027,0.05,-0.055,0.138,0.001,0.001,1562.0,916.0,1.0
beta[VIGIL1_A_7.0],-0.007,0.068,-0.168,0.116,0.002,0.002,1222.0,732.0,1.0
beta[VIGIL1_A_8.0],0.002,0.07,-0.125,0.163,0.002,0.002,1371.0,792.0,1.0
beta[VIGIL1_A_9.0],-0.001,0.067,-0.168,0.126,0.002,0.002,1297.0,610.0,1.0
beta[DISCRIM5_A_2.0],-0.038,0.079,-0.218,0.08,0.002,0.002,1546.0,781.0,1.0
beta[DISCRIM5_A_3.0],-0.006,0.05,-0.114,0.1,0.001,0.001,1798.0,982.0,1.0
beta[DISCRIM5_A_4.0],0.019,0.051,-0.059,0.154,0.001,0.001,1586.0,790.0,1.0
beta[DISCRIM5_A_5.0],-0.001,0.039,-0.088,0.084,0.001,0.001,1613.0,955.0,1.0
beta[DISCRIM5_A_7.0],-0.013,0.077,-0.172,0.161,0.002,0.002,1493.0,784.0,1.0
beta[DISCRIM5_A_8.0],-0.003,0.074,-0.144,0.165,0.002,0.002,1785.0,789.0,1.0
