,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[PAYWORRY_A_2.0],-0.002,0.039,-0.091,0.074,0.001,0.001,1753.0,1021.0,1.0
beta[PAYWORRY_A_3.0],-0.15,0.074,-0.274,-0.005,0.003,0.002,675.0,502.0,1.0
beta[PAYWORRY_A_7.0],0.001,0.075,-0.137,0.154,0.002,0.002,1694.0,883.0,1.0
beta[PAYWORRY_A_9.0],-0.007,0.074,-0.137,0.142,0.002,0.002,1413.0,754.0,1.0
beta[PAYBLL12M_A_2.0],-0.045,0.06,-0.173,0.054,0.002,0.001,1374.0,958.0,1.0
beta[PAYBLL12M_A_7.0],0.004,0.07,-0.128,0.14,0.002,0.002,1604.0,769.0,1.0
beta[PAYBLL12M_A_8.0],0.005,0.067,-0.12,0.163,0.002,0.002,1604.0,685.0,1.0
beta[PAYBLL12M_A_9.0],-0.006,0.071,-0.143,0.148,0.002,0.002,1511.0,957.0,1.0
beta[HINOTYR_A_2.0],0.003,0.046,-0.104,0.095,0.001,0.001,1760.0,756.0,1.01
beta[HINOTYR_A_7.0],-0.003,0.07,-0.157,0.139,0.002,0.002,1518.0,716.0,1.0
beta[HINOTYR_A_9.0],-0.006,0.077,-0.17,0.144,0.002,0.002,1464.0,661.0,1.0
beta[PRVSCOV1_A_2.0],0.012,0.037,-0.062,0.1,0.001,0.001,1357.0,857.0,1.01
beta[PRVSCOV1_A_7.0],-0.001,0.072,-0.168,0.14,0.002,0.002,1341.0,723.0,1.0
beta[PRVSCOV1_A_8.0],0.016,0.071,-0.108,0.174,0.002,0.002,1723.0,878.0,1.0
beta[PRVSCOV1_A_9.0],-0.024,0.069,-0.191,0.084,0.002,0.002,1336.0,821.0,1.0
beta[PRDNCOV1_A_2.0],0.011,0.036,-0.054,0.094,0.001,0.001,1413.0,933.0,1.0
beta[PRDNCOV1_A_7.0],-0.007,0.074,-0.187,0.138,0.002,0.002,1670.0,919.0,1.0
beta[PRDNCOV1_A_8.0],0.017,0.07,-0.109,0.156,0.003,0.002,1076.0,591.0,1.0
beta[PRDNCOV1_A_9.0],-0.005,0.063,-0.129,0.123,0.002,0.001,1230.0,676.0,1.0
beta[PRRXCOV1_A_2.0],0.019,0.053,-0.086,0.136,0.001,0.001,1497.0,887.0,1.0
beta[PRRXCOV1_A_7.0],-0.007,0.081,-0.149,0.141,0.002,0.002,1770.0,817.0,1.0
beta[PRRXCOV1_A_8.0],0.017,0.073,-0.118,0.184,0.002,0.002,1155.0,801.0,1.0
beta[PRRXCOV1_A_9.0],-0.032,0.088,-0.22,0.094,0.003,0.002,1302.0,826.0,1.0
beta[PRHDHP1_A_2.0],0.001,0.036,-0.082,0.077,0.001,0.001,1770.0,799.0,1.0
beta[PRHDHP1_A_7.0],-0.001,0.091,-0.186,0.148,0.004,0.003,985.0,557.0,1.0
beta[PRHDHP1_A_9.0],-0.024,0.059,-0.178,0.064,0.002,0.001,1676.0,795.0,1.0
beta[PRDEDUC1_A_2.0],0.001,0.041,-0.084,0.092,0.001,0.001,1566.0,790.0,1.0
beta[PRDEDUC1_A_7.0],-0.005,0.086,-0.192,0.158,0.003,0.002,1326.0,687.0,1.0
beta[PRDEDUC1_A_8.0],-0.001,0.078,-0.135,0.142,0.002,0.002,1582.0,869.0,1.0
beta[PRDEDUC1_A_9.0],-0.014,0.056,-0.145,0.079,0.002,0.001,1417.0,804.0,1.0
beta[PLN1PAY6_A_2.0],0.001,0.062,-0.135,0.129,0.002,0.002,1432.0,882.0,1.0
beta[PLN1PAY6_A_7.0],0.002,0.069,-0.148,0.13,0.002,0.002,1121.0,766.0,1.0
beta[PLN1PAY6_A_8.0],0.013,0.074,-0.155,0.152,0.002,0.002,1500.0,814.0,1.0
beta[PLN1PAY6_A_9.0],-0.013,0.065,-0.18,0.111,0.002,0.002,1417.0,676.0,1.0
beta[PLN1PAY5_A_2.0],-0.007,0.058,-0.115,0.116,0.002,0.002,1680.0,974.0,1.0
beta[PLN1PAY5_A_7.0],0.003,0.073,-0.163,0.133,0.002,0.002,1386.0,722.0,1.0
beta[PLN1PAY5_A_8.0],0.013,0.069,-0.128,0.159,0.002,0.002,1658.0,689.0,1.0
beta[PLN1PAY5_A_9.0],-0.016,0.075,-0.198,0.105,0.002,0.002,1524.0,821.0,1.0
beta[PLN1PAY4_A_2.0],-0.022,0.066,-0.194,0.078,0.002,0.002,1114.0,832.0,1.0
beta[PLN1PAY4_A_7.0],0.002,0.073,-0.135,0.153,0.002,0.002,1307.0,826.0,1.0
beta[PLN1PAY4_A_8.0],0.018,0.076,-0.117,0.2,0.002,0.002,1633.0,879.0,1.0
beta[PLN1PAY4_A_9.0],-0.017,0.073,-0.173,0.125,0.002,0.002,1614.0,792.0,1.0
beta[PLN1PAY3_A_2.0],-0.019,0.07,-0.208,0.101,0.002,0.002,1060.0,823.0,1.01
beta[PLN1PAY3_A_7.0],0.005,0.073,-0.117,0.18,0.002,0.002,1341.0,831.0,1.0
beta[PLN1PAY3_A_8.0],0.015,0.07,-0.104,0.169,0.002,0.002,1534.0,756.0,1.0
beta[PLN1PAY3_A_9.0],-0.014,0.088,-0.191,0.156,0.003,0.002,1411.0,748.0,1.0
beta[PLN1PAY2_A_2.0],0.037,0.054,-0.042,0.159,0.001,0.001,1310.0,872.0,1.0
beta[PLN1PAY2_A_7.0],0.002,0.071,-0.136,0.162,0.002,0.002,1422.0,629.0,1.0
beta[PLN1PAY2_A_8.0],0.013,0.07,-0.134,0.154,0.002,0.002,1515.0,714.0,1.0
beta[PLN1PAY2_A_9.0],-0.012,0.074,-0.177,0.123,0.002,0.002,1853.0,871.0,1.0
beta[PLN1PAY1_A_2.0],0.011,0.051,-0.085,0.124,0.001,0.001,1791.0,877.0,1.0
beta[PLN1PAY1_A_7.0],0.002,0.08,-0.127,0.164,0.003,0.002,1344.0,596.0,1.0
beta[PLN1PAY1_A_8.0],0.015,0.066,-0.128,0.154,0.002,0.002,1315.0,797.0,1.0
beta[PLN1PAY1_A_9.0],-0.013,0.069,-0.18,0.132,0.002,0.002,1893.0,851.0,1.0
beta[PRPLCOV1_A_2.0],0.031,0.052,-0.053,0.144,0.001,0.001,1836.0,927.0,1.0
beta[PRPLCOV1_A_7.0],-0.003,0.076,-0.143,0.163,0.002,0.002,1394.0,979.0,1.0
beta[PRPLCOV1_A_8.0],0.004,0.078,-0.14,0.175,0.003,0.002,1250.0,881.0,1.0
beta[POLHLD1_A_2.0],-0.004,0.045,-0.106,0.086,0.001,0.001,1639.0,952.0,1.0
beta[POLHLD1_A_7.0],0.002,0.079,-0.156,0.165,0.003,0.002,1479.0,517.0,1.0
beta[POLHLD1_A_8.0],0.018,0.075,-0.111,0.19,0.002,0.002,1775.0,856.0,1.0
beta[POLHLD1_A_9.0],0.003,0.075,-0.155,0.143,0.002,0.002,1807.0,940.0,1.0
beta[SINCOVRX_A_2.0],-0.027,0.048,-0.142,0.053,0.001,0.001,1317.0,993.0,1.0
beta[SINCOVRX_A_7.0],0.001,0.075,-0.142,0.163,0.002,0.002,1300.0,668.0,1.0
beta[SINCOVRX_A_9.0],-0.004,0.066,-0.166,0.119,0.002,0.002,1619.0,888.0,1.0
beta[SINCOVVS_A_2.0],-0.005,0.035,-0.072,0.075,0.001,0.001,1900.0,912.0,1.0
beta[SINCOVVS_A_7.0],-0.002,0.085,-0.133,0.137,0.002,0.002,1731.0,923.0,1.0
beta[SINCOVVS_A_9.0],-0.021,0.084,-0.23,0.111,0.003,0.002,1070.0,635.0,1.0
beta[SINCOVDE_A_2.0],0.015,0.034,-0.041,0.101,0.001,0.001,1633.0,1037.0,1.0
beta[SINCOVDE_A_7.0],0.002,0.07,-0.137,0.144,0.002,0.002,1707.0,733.0,1.0
beta[SINCOVDE_A_9.0],-0.0,0.07,-0.151,0.146,0.002,0.002,1516.0,711.0,1.0
beta[HIKIND10_A_2.0],-0.005,0.053,-0.122,0.088,0.002,0.001,1551.0,814.0,1.0
beta[HIKIND10_A_7.0],-0.006,0.077,-0.171,0.138,0.002,0.002,1833.0,837.0,1.0
beta[HIKIND10_A_9.0],-0.005,0.071,-0.166,0.136,0.002,0.002,1630.0,677.0,1.0
beta[HIKIND09_A_2.0],-0.005,0.06,-0.138,0.125,0.002,0.001,1559.0,803.0,1.0
beta[HIKIND09_A_7.0],-0.002,0.063,-0.128,0.157,0.002,0.002,1128.0,924.0,1.0
beta[HIKIND09_A_9.0],-0.002,0.069,-0.151,0.142,0.002,0.002,1393.0,704.0,1.0
beta[HIKIND08_A_2.0],0.003,0.053,-0.102,0.119,0.001,0.001,1619.0,827.0,1.0
beta[HIKIND08_A_7.0],-0.006,0.077,-0.147,0.168,0.003,0.003,1436.0,637.0,1.0
beta[HIKIND08_A_9.0],-0.004,0.067,-0.142,0.148,0.003,0.002,1120.0,686.0,1.01
beta[HIKIND07_A_2.0],0.016,0.077,-0.1,0.187,0.003,0.002,1201.0,777.0,1.0
beta[HIKIND07_A_7.0],-0.0,0.071,-0.149,0.152,0.002,0.002,1560.0,775.0,1.0
beta[HIKIND07_A_9.0],-0.002,0.067,-0.153,0.143,0.002,0.002,1311.0,816.0,1.0
beta[HIKIND06_A_2.0],0.01,0.052,-0.112,0.114,0.001,0.001,1687.0,820.0,1.0
beta[HIKIND06_A_7.0],-0.003,0.079,-0.173,0.173,0.002,0.002,1577.0,591.0,1.0
beta[HIKIND06_A_9.0],-0.001,0.069,-0.145,0.125,0.002,0.002,1364.0,600.0,1.0
beta[HIKIND05_A_2.0],-0.002,0.075,-0.18,0.12,0.002,0.002,1521.0,843.0,1.0
beta[HIKIND05_A_7.0],-0.008,0.081,-0.171,0.19,0.003,0.002,1350.0,765.0,1.0
beta[HIKIND05_A_9.0],-0.006,0.088,-0.161,0.15,0.003,0.002,1389.0,778.0,1.0
beta[HIKIND04_A_2.0],-0.004,0.045,-0.105,0.093,0.001,0.001,1601.0,738.0,1.0
beta[HIKIND04_A_7.0],-0.001,0.07,-0.146,0.133,0.002,0.002,1285.0,934.0,1.0
beta[HIKIND04_A_9.0],-0.007,0.072,-0.151,0.134,0.002,0.002,1534.0,863.0,1.0
beta[HIKIND03_A_2.0],0.039,0.068,-0.068,0.193,0.002,0.001,1508.0,780.0,1.0
beta[HIKIND03_A_7.0],-0.005,0.068,-0.159,0.128,0.002,0.002,1268.0,826.0,1.0
beta[HIKIND03_A_9.0],-0.005,0.074,-0.164,0.125,0.003,0.002,1523.0,708.0,1.0
beta[HIKIND02_A_2.0],0.079,0.092,-0.045,0.285,0.003,0.002,1120.0,945.0,1.0
beta[HIKIND02_A_7.0],-0.006,0.078,-0.144,0.15,0.002,0.002,1372.0,683.0,1.0
beta[HIKIND02_A_9.0],-0.003,0.066,-0.171,0.116,0.002,0.002,1288.0,712.0,1.0
beta[HIKIND01_A_2.0],-0.002,0.043,-0.084,0.096,0.001,0.001,1584.0,945.0,1.0
beta[HIKIND01_A_7.0],-0.006,0.071,-0.177,0.13,0.002,0.002,1448.0,660.0,1.0
beta[HIKIND01_A_9.0],-0.004,0.079,-0.14,0.167,0.003,0.002,1415.0,656.0,1.0
beta[HICOV_A_2.0],-0.002,0.054,-0.119,0.115,0.002,0.001,1450.0,886.0,1.0
beta[HICOV_A_7.0],-0.0,0.075,-0.161,0.143,0.002,0.002,1578.0,940.0,1.0
beta[HICOV_A_9.0],0.001,0.074,-0.156,0.141,0.003,0.002,1221.0,647.0,1.0
beta[SOCWRKLIM_A_2.0],-0.081,0.075,-0.23,0.028,0.002,0.002,820.0,771.0,1.0
beta[SOCWRKLIM_A_7.0],0.002,0.067,-0.134,0.16,0.002,0.002,1636.0,711.0,1.0
beta[SOCWRKLIM_A_9.0],0.007,0.076,-0.153,0.148,0.002,0.002,1397.0,789.0,1.0
beta[SOCSCLPAR_A_2.0],-0.004,0.043,-0.107,0.076,0.001,0.001,1751.0,650.0,1.0
beta[SOCSCLPAR_A_3.0],0.021,0.061,-0.096,0.155,0.002,0.001,1879.0,688.0,1.0
beta[SOCSCLPAR_A_4.0],0.006,0.059,-0.113,0.137,0.002,0.001,1465.0,954.0,1.0
beta[SOCSCLPAR_A_7.0],-0.006,0.079,-0.147,0.174,0.003,0.002,1290.0,746.0,1.0
beta[SOCSCLPAR_A_9.0],0.003,0.075,-0.181,0.137,0.003,0.002,1200.0,701.0,1.0
beta[SOCERRNDS_A_2.0],0.058,0.079,-0.046,0.24,0.002,0.002,1290.0,852.0,1.0
beta[SOCERRNDS_A_3.0],0.021,0.071,-0.091,0.172,0.002,0.002,1439.0,903.0,1.0
beta[SOCERRNDS_A_4.0],-0.009,0.057,-0.141,0.104,0.002,0.001,1569.0,759.0,1.0
beta[SOCERRNDS_A_7.0],-0.004,0.082,-0.147,0.158,0.002,0.002,1949.0,719.0,1.0
beta[SOCERRNDS_A_9.0],-0.0,0.071,-0.139,0.139,0.002,0.002,1552.0,878.0,1.0
beta[UPPOBJCT_A_2.0],0.007,0.044,-0.076,0.116,0.001,0.001,1216.0,829.0,1.0
beta[UPPOBJCT_A_3.0],0.004,0.059,-0.128,0.122,0.002,0.001,1515.0,849.0,1.0
beta[UPPOBJCT_A_4.0],-0.003,0.068,-0.135,0.15,0.002,0.002,1689.0,899.0,1.0
beta[UPPOBJCT_A_7.0],0.002,0.074,-0.149,0.146,0.002,0.002,1365.0,700.0,1.0
beta[UPPRAISE_A_2.0],-0.005,0.049,-0.103,0.098,0.001,0.001,1662.0,764.0,1.0
beta[UPPRAISE_A_3.0],-0.002,0.067,-0.153,0.138,0.002,0.002,1433.0,554.0,1.01
beta[UPPRAISE_A_4.0],-0.002,0.078,-0.199,0.125,0.002,0.002,1553.0,827.0,1.0
beta[UPPRAISE_A_7.0],-0.001,0.083,-0.158,0.168,0.003,0.002,1288.0,857.0,1.0
beta[UPPRAISE_A_9.0],0.022,0.099,-0.136,0.212,0.003,0.002,1517.0,897.0,1.0
beta[UPPSLFCR_A_2.0],-0.022,0.064,-0.183,0.078,0.002,0.002,1454.0,911.0,1.0
beta[UPPSLFCR_A_3.0],0.007,0.063,-0.134,0.127,0.002,0.002,1823.0,824.0,1.0
beta[UPPSLFCR_A_4.0],-0.005,0.074,-0.178,0.134,0.002,0.002,1268.0,744.0,1.0
beta[UPPSLFCR_A_7.0],-0.003,0.068,-0.141,0.146,0.002,0.002,1667.0,838.0,1.0
beta[COGMEMDFF_A_2.0],0.025,0.041,-0.042,0.119,0.001,0.001,1507.0,1023.0,1.0
beta[COGMEMDFF_A_3.0],-0.009,0.055,-0.142,0.098,0.002,0.001,1485.0,664.0,1.0
beta[COGMEMDFF_A_4.0],-0.004,0.081,-0.155,0.176,0.003,0.002,1433.0,627.0,1.0
beta[COGMEMDFF_A_7.0],0.005,0.072,-0.12,0.177,0.002,0.002,1507.0,823.0,1.0
beta[COMDIFF_A_2.0],-0.002,0.052,-0.102,0.123,0.001,0.001,1593.0,961.0,1.0
beta[COMDIFF_A_3.0],0.014,0.073,-0.138,0.175,0.002,0.002,1166.0,707.0,1.0
beta[COMDIFF_A_4.0],-0.007,0.069,-0.13,0.169,0.002,0.002,1585.0,773.0,1.0
beta[COMDIFF_A_7.0],0.002,0.066,-0.129,0.148,0.002,0.002,1302.0,797.0,1.01
beta[COMDIFF_A_9.0],0.004,0.067,-0.14,0.137,0.002,0.002,1438.0,876.0,1.0
beta[STEPS_A_2.0],0.041,0.063,-0.049,0.19,0.002,0.001,1305.0,952.0,1.0
beta[STEPS_A_3.0],-0.001,0.058,-0.127,0.123,0.002,0.002,1447.0,723.0,1.0
beta[STEPS_A_4.0],0.002,0.064,-0.164,0.122,0.002,0.001,1549.0,946.0,1.0
beta[STEPS_A_7.0],0.003,0.08,-0.137,0.197,0.003,0.002,1425.0,670.0,1.0
beta[STEPS_A_9.0],0.003,0.072,-0.173,0.121,0.002,0.002,1435.0,770.0,1.0
beta[WLK13M_A_2.0],0.01,0.044,-0.065,0.125,0.001,0.001,1520.0,603.0,1.0
beta[WLK13M_A_3.0],-0.011,0.053,-0.136,0.093,0.001,0.001,1726.0,977.0,1.0
beta[WLK13M_A_4.0],0.02,0.068,-0.095,0.176,0.002,0.002,1789.0,958.0,1.0
beta[WLK13M_A_7.0],0.004,0.073,-0.122,0.152,0.002,0.002,1582.0,942.0,1.0
beta[WLK13M_A_9.0],0.003,0.071,-0.14,0.149,0.002,0.002,1750.0,884.0,1.01
beta[WLK100_A_2.0],-0.005,0.047,-0.11,0.095,0.001,0.001,1553.0,855.0,1.0
beta[WLK100_A_3.0],0.019,0.062,-0.105,0.149,0.002,0.001,1636.0,708.0,1.0
beta[WLK100_A_4.0],0.007,0.064,-0.131,0.139,0.002,0.002,1617.0,861.0,1.0
beta[WLK100_A_7.0],0.005,0.074,-0.111,0.175,0.002,0.002,1354.0,811.0,1.0
beta[WLK100_A_9.0],-0.002,0.075,-0.173,0.136,0.002,0.002,1686.0,860.0,1.0
beta[EQUIP_A_2.0],0.027,0.057,-0.061,0.16,0.002,0.002,1558.0,963.0,1.0
beta[EQUIP_A_7.0],0.005,0.081,-0.14,0.147,0.003,0.002,1472.0,851.0,1.0
beta[DIFF_A_2.0],-0.005,0.042,-0.096,0.081,0.001,0.001,1682.0,857.0,1.0
beta[DIFF_A_3.0],-0.026,0.064,-0.177,0.082,0.002,0.001,1787.0,780.0,1.0
beta[DIFF_A_4.0],-0.02,0.072,-0.187,0.097,0.002,0.002,1503.0,710.0,1.0
beta[DIFF_A_7.0],0.001,0.086,-0.164,0.181,0.003,0.002,1547.0,678.0,1.0
beta[HEARINGDF_A_2.0],0.035,0.054,-0.049,0.166,0.002,0.001,1249.0,844.0,1.0
beta[HEARINGDF_A_3.0],0.029,0.074,-0.092,0.208,0.002,0.002,1706.0,764.0,1.0
beta[HEARINGDF_A_4.0],0.019,0.115,-0.15,0.161,0.004,0.003,1580.0,741.0,1.0
beta[HEARINGDF_A_7.0],0.005,0.076,-0.137,0.174,0.002,0.002,1722.0,851.0,1.0
beta[HEARINGDF_A_9.0],-0.001,0.087,-0.213,0.151,0.003,0.002,1720.0,671.0,1.0
beta[HEARAID_A_2.0],0.005,0.053,-0.105,0.126,0.002,0.001,1644.0,726.0,1.0
beta[HEARAID_A_7.0],0.001,0.074,-0.129,0.152,0.002,0.002,1494.0,680.0,1.0
beta[VISIONDF_A_2.0],0.037,0.048,-0.049,0.138,0.001,0.001,1121.0,765.0,1.0
beta[VISIONDF_A_3.0],0.035,0.084,-0.082,0.243,0.002,0.002,1639.0,688.0,1.0
beta[VISIONDF_A_4.0],0.016,0.093,-0.169,0.165,0.003,0.002,1737.0,901.0,1.0
beta[VISIONDF_A_7.0],0.006,0.078,-0.182,0.155,0.003,0.002,1175.0,742.0,1.0
beta[VISIONDF_A_9.0],-0.005,0.072,-0.181,0.142,0.002,0.002,1435.0,641.0,1.0
beta[WEARGLSS_A_2.0],0.007,0.036,-0.058,0.1,0.001,0.001,1467.0,1051.0,1.0
beta[WEARGLSS_A_7.0],0.003,0.07,-0.141,0.127,0.002,0.002,1914.0,957.0,1.0
beta[VIMCSURG_A_2.0],0.026,0.055,-0.071,0.145,0.002,0.001,1762.0,857.0,1.0
beta[VIMCSURG_A_7.0],0.003,0.077,-0.143,0.164,0.002,0.002,1557.0,770.0,1.0
beta[VIMCSURG_A_9.0],0.002,0.074,-0.143,0.147,0.003,0.002,1109.0,763.0,1.0
beta[VIMMDEV_A_2.0],-0.026,0.069,-0.173,0.099,0.002,0.002,1694.0,896.0,1.0
beta[VIMMDEV_A_7.0],-0.002,0.086,-0.142,0.17,0.003,0.002,1417.0,713.0,1.0
beta[VIMMDEV_A_9.0],0.014,0.076,-0.133,0.166,0.002,0.002,1566.0,771.0,1.0
beta[VIMGLEV_A_2.0],0.008,0.054,-0.112,0.121,0.001,0.001,1818.0,778.0,1.0
beta[VIMGLEV_A_7.0],-0.002,0.076,-0.154,0.154,0.002,0.002,1310.0,866.0,1.0
beta[VIMGLEV_A_9.0],0.001,0.07,-0.133,0.153,0.002,0.002,1855.0,906.0,1.0
beta[VIMDREV_A_2.0],-0.017,0.06,-0.146,0.105,0.002,0.002,1812.0,749.0,1.0
beta[VIMDREV_A_7.0],-0.002,0.076,-0.173,0.135,0.002,0.002,1717.0,817.0,1.0
beta[VIMDREV_A_9.0],0.011,0.086,-0.143,0.155,0.003,0.002,1690.0,844.0,1.0
beta[EPIEV_A_2.0],0.012,0.061,-0.108,0.165,0.001,0.001,2171.0,943.0,1.0
beta[EPIEV_A_7.0],-0.004,0.076,-0.143,0.163,0.002,0.002,1785.0,708.0,1.0
beta[EPIEV_A_9.0],0.003,0.081,-0.151,0.139,0.002,0.002,1395.0,679.0,1.0
beta[HLTHCOND_A_2.0],-0.089,0.094,-0.283,0.035,0.003,0.002,1076.0,1057.0,1.0
beta[HLTHCOND_A_7.0],-0.002,0.075,-0.134,0.165,0.002,0.002,1461.0,771.0,1.0
beta[HLTHCOND_A_9.0],-0.007,0.072,-0.132,0.133,0.002,0.002,1406.0,724.0,1.0
beta[MEDRXTRT_A_2.0],-0.012,0.049,-0.127,0.076,0.001,0.001,1931.0,958.0,1.0
beta[MEDRXTRT_A_7.0],-0.004,0.072,-0.177,0.139,0.002,0.002,1694.0,851.0,1.0
beta[MEDRXTRT_A_9.0],0.019,0.079,-0.106,0.193,0.003,0.002,1372.0,670.0,1.0
beta[CFSEV_A_2.0],-0.124,0.15,-0.45,0.063,0.004,0.003,1180.0,930.0,1.0
beta[CFSEV_A_7.0],-0.002,0.074,-0.121,0.144,0.002,0.002,1374.0,765.0,1.0
beta[CFSEV_A_9.0],0.016,0.075,-0.097,0.208,0.002,0.002,1669.0,790.0,1.0
beta[PSOREV_A_2.0],0.04,0.073,-0.072,0.195,0.002,0.001,1319.0,735.0,1.0
beta[PSOREV_A_7.0],-0.002,0.071,-0.175,0.131,0.002,0.002,1530.0,974.0,1.0
beta[PSOREV_A_9.0],-0.003,0.08,-0.148,0.173,0.003,0.002,1151.0,546.0,1.0
beta[ULCCOLEV_A_2.0],0.006,0.058,-0.126,0.128,0.002,0.001,1244.0,957.0,1.0
beta[ULCCOLEV_A_7.0],-0.005,0.068,-0.143,0.118,0.002,0.002,1827.0,771.0,1.0
beta[ULCCOLEV_A_9.0],0.002,0.07,-0.13,0.157,0.002,0.002,1612.0,904.0,1.0
beta[CROHNSEV_A_2.0],0.002,0.062,-0.148,0.129,0.002,0.002,1351.0,689.0,1.0
beta[CROHNSEV_A_7.0],-0.004,0.076,-0.135,0.173,0.002,0.002,1185.0,854.0,1.0
beta[CROHNSEV_A_9.0],-0.006,0.083,-0.167,0.149,0.003,0.002,1358.0,743.0,1.0
beta[HEPEV_A_2.0],-0.004,0.06,-0.13,0.121,0.002,0.001,1687.0,874.0,1.0
beta[HEPEV_A_7.0],-0.004,0.074,-0.16,0.136,0.003,0.002,1464.0,725.0,1.0
beta[HEPEV_A_9.0],-0.005,0.099,-0.146,0.157,0.004,0.003,1356.0,771.0,1.0
beta[DEPEV_A_2.0],-0.019,0.042,-0.111,0.062,0.001,0.001,1305.0,896.0,1.0
beta[DEPEV_A_7.0],-0.005,0.071,-0.141,0.156,0.003,0.002,1089.0,853.0,1.0
beta[DEPEV_A_9.0],-0.001,0.089,-0.166,0.146,0.003,0.002,1703.0,651.0,1.0
beta[ANXEV_A_2.0],-0.045,0.055,-0.163,0.047,0.002,0.001,960.0,749.0,1.0
beta[ANXEV_A_7.0],-0.007,0.073,-0.174,0.145,0.003,0.002,1147.0,776.0,1.0
beta[ANXEV_A_9.0],0.012,0.082,-0.134,0.189,0.003,0.002,1300.0,695.0,1.0
beta[DEMENEV_A_2.0],0.05,0.12,-0.129,0.316,0.004,0.003,1183.0,853.0,1.0
beta[DEMENEV_A_7.0],-0.0,0.07,-0.149,0.147,0.002,0.002,1695.0,796.0,1.0
beta[DEMENEV_A_9.0],0.001,0.067,-0.131,0.143,0.002,0.001,1458.0,880.0,1.0
beta[ARTHEV_A_2.0],-0.038,0.053,-0.145,0.054,0.001,0.001,1169.0,874.0,1.0
beta[ARTHEV_A_7.0],0.001,0.08,-0.183,0.163,0.003,0.002,1476.0,781.0,1.0
beta[ARTHEV_A_9.0],0.007,0.078,-0.171,0.184,0.003,0.002,1554.0,804.0,1.0
beta[COPDEV_A_2.0],-0.066,0.085,-0.266,0.049,0.002,0.002,1015.0,724.0,1.0
beta[COPDEV_A_7.0],-0.011,0.094,-0.196,0.15,0.004,0.003,945.0,469.0,1.01
beta[COPDEV_A_9.0],-0.002,0.069,-0.191,0.124,0.002,0.002,1854.0,761.0,1.0
beta[DIBEV_A_2.0],-0.042,0.063,-0.191,0.05,0.002,0.001,1182.0,643.0,1.0
beta[DIBEV_A_7.0],-0.004,0.083,-0.19,0.141,0.002,0.002,1718.0,796.0,1.0
beta[DIBEV_A_9.0],0.007,0.077,-0.165,0.128,0.003,0.003,915.0,720.0,1.0
beta[GESDIB_A_2.0],-0.053,0.081,-0.245,0.055,0.002,0.002,1204.0,704.0,1.0
beta[GESDIB_A_7.0],0.003,0.077,-0.135,0.181,0.003,0.002,1094.0,633.0,1.0
beta[GESDIB_A_9.0],-0.005,0.087,-0.168,0.138,0.003,0.002,1546.0,881.0,1.0
beta[PREDIB_A_2.0],-0.022,0.045,-0.117,0.056,0.001,0.001,1571.0,794.0,1.0
beta[PREDIB_A_7.0],0.002,0.069,-0.123,0.134,0.002,0.002,1517.0,882.0,1.0
beta[PREDIB_A_9.0],-0.0,0.065,-0.129,0.156,0.002,0.002,1627.0,734.0,1.0
beta[CANEV_A_2.0],0.015,0.045,-0.07,0.113,0.001,0.001,1631.0,855.0,1.0
beta[CANEV_A_7.0],-0.002,0.075,-0.139,0.172,0.002,0.002,1458.0,759.0,1.0
beta[CANEV_A_9.0],-0.001,0.072,-0.155,0.156,0.002,0.002,1819.0,820.0,1.0
beta[ASEV_A_2.0],-0.208,0.072,-0.343,-0.068,0.002,0.002,909.0,612.0,1.0
beta[ASEV_A_7.0],-0.004,0.081,-0.156,0.134,0.003,0.002,1485.0,820.0,1.0
beta[ASEV_A_9.0],0.005,0.08,-0.166,0.146,0.003,0.002,1289.0,885.0,1.01
beta[ASPONOWN_A_2.0],-0.017,0.062,-0.161,0.108,0.002,0.001,2141.0,1015.0,1.0
beta[ASPONOWN_A_7.0],0.0,0.07,-0.145,0.163,0.003,0.002,1239.0,725.0,1.0
beta[ASPONOWN_A_9.0],0.0,0.079,-0.169,0.172,0.002,0.002,1465.0,790.0,1.0
beta[ASPMEDEV_A_2.0],-0.01,0.045,-0.109,0.089,0.001,0.001,1497.0,742.0,1.0
beta[ASPMEDEV_A_7.0],-0.004,0.073,-0.16,0.146,0.002,0.002,1695.0,689.0,1.01
beta[ASPMEDEV_A_8.0],0.003,0.078,-0.112,0.203,0.002,0.002,1896.0,822.0,1.01
beta[ASPMEDEV_A_9.0],-0.001,0.067,-0.144,0.128,0.002,0.002,1951.0,840.0,1.0
beta[STREV_A_2.0],-0.007,0.051,-0.119,0.089,0.001,0.001,1536.0,823.0,1.0
beta[STREV_A_7.0],0.0,0.072,-0.177,0.143,0.002,0.002,1483.0,711.0,1.01
beta[STREV_A_9.0],0.01,0.073,-0.108,0.185,0.002,0.002,1433.0,740.0,1.0
beta[MIEV_A_2.0],-0.025,0.062,-0.182,0.073,0.002,0.001,1057.0,570.0,1.0
beta[MIEV_A_7.0],0.001,0.084,-0.141,0.18,0.003,0.002,1423.0,776.0,1.0
beta[MIEV_A_9.0],0.003,0.071,-0.162,0.15,0.002,0.002,1419.0,825.0,1.0
beta[ANGEV_A_2.0],-0.018,0.06,-0.154,0.082,0.002,0.001,1655.0,794.0,1.0
